company_name,city,state,pin_code,company_type,contact_number,company_website
" Lally Automobiles Pvt Ltd, Karnal  ",Karnal,Haryana,132001, SMEs, (0184) 3067777,Website Not Found
 Lally Motors Pvt Ltd  ,Jalandhar,Punjab,144001, SMEs, (0181) 3067777,Website Not Found
" Lally Automobiles Pvt Ltd, Chandigarh  ",Chandigarh,Chandigarh,160047, SMEs, (0172) 3067777,"<a href=""http://www.hondacarindia.com""  target=""_blank"">www.hondacarindia.com</a>"
 Lally Automobiles Pvt Ltd  ,NewDelhi,Delhi,110020, SMEs, (011) 40710000,"<a href=""http://www.courtesyhonda.in""  target=""_blank"">www.courtesyhonda.in</a>"
" Lally Automobiles India Pvt Ltd, Solan  ",Solan,HimachalPradesh,173229, Industry Top, (01792) 651792  8894718001,Website Not Found
 Lally Automobiles India Pvt Ltd  ,Shimla,HimachalPradesh,171001, Industry Top, (0177) 2674900  8894717700,Website Not Found
 Lallsons Piston & Rings Pvt Ltd  ,Agra,UttarPradesh,282006, SMEs, (0562) 2280383  9897079803,"<a href=""http://www.lallsons.com""  target=""_blank"">www.lallsons.com</a>"
 Lakshmi Precision Screws Ltd  ,Rohtak,Haryana,124001, Industry Top, (01262) 248289  248288,"<a href=""http://www.lpsindia.com""  target=""_blank"">www.lpsindia.com</a>"
 Lakshmi Nissan  ,Hyderabad,Telangana,500033, SMEs, (040) 8096666117  2338418,"<a href=""http://lakshminissan.co.in""  target=""_blank"">lakshminissan.co.in</a>"
 Lakshmi Motors  ,Berhampur,Orissa,760002, Industry Top, (0680) 2224842  8908939399,Website Not Found
 Lakshmi Motorcycles & Allied Pvt Ltd  ,Berhampur,WestBengal,760002, SMEs, (03482) 0680-2226633,Website Not Found
 Lakshmi Hyundai.  ,Bangalore,Karnataka,560092, Industry Top, (080) 9900022957,"<a href=""http://www.lakshmihyundaibr.com""  target=""_blank"">www.lakshmihyundaibr.com</a>"
 Lakshmi Hyundai  ,Hyderabad,Telangana,500029, Industry Top, (040) 27671191  27671190,"<a href=""http://www.lakshmigroup.co.in""  target=""_blank"">www.lakshmigroup.co.in</a>"
 Lakshmi Ford.  ,Thanjavur,TamilNadu,613007, SMEs, (04362) 276161  276162,"<a href=""http://www.lakshmiforddealer.com""  target=""_blank"">www.lakshmiforddealer.com</a>"
 Lakshmi Ford  ,Guntur,AndhraPradesh,522001, SMEs, (0863) 2322966,"<a href=""http://www.lakshmiforddealer.com""  target=""_blank"">www.lakshmiforddealer.com</a>"
 Lakshmi Automobiles  ,Gharaunda,Haryana,132114, Industry Top, (01748) 9729999430,Website Not Found
